               tan      sig      rec        new
Accuracy1  64.9600       NA  79.8000    80.3100
Accuracy2  66.7500  79.8000  79.8000    80.5600
Accuracy3  74.9400  80.5600  80.8200    80.3100
Accuracy4  67.0100       NA  80.5600    79.8000
Steps1    196.0000  18.0000 267.0000 26727.0000
Steps2    137.0000 145.0000 452.0000  4215.0000
Steps3    815.0000 444.0000 699.0000  2541.0000
Steps4     49.0000  10.0000 634.0000 16181.0000
ErrorIn1   49.6927  59.4740  38.6067    38.5271
ErrorIn2   46.9214  36.1031  38.6063    37.8462
ErrorIn3   35.2555  32.0996  38.6062    38.4966
ErrorIn4   50.3386  59.4770  38.6061    38.3463
