                  tan         sig      rec        new
Accuracy1     78.2600     78.2600  77.4900    77.4900
Accuracy2     74.6800     75.7000  77.4900    76.7300
Accuracy3     75.9600     74.9400  77.4900    79.5400
Accuracy4     68.8000     77.7500  77.4900    80.3100
Steps1      1832.0000    667.0000 527.0000 67904.0000
Steps2     27455.0000  26965.0000 320.0000  1329.0000
Steps3    305724.0000    378.0000 826.0000 15400.0000
Steps4    299318.0000 391616.0000 640.0000 49852.0000
ErrorIn1      31.3726     30.2127  34.4989    34.2990
ErrorIn2      30.5997     25.8844  34.4997    33.0258
ErrorIn3      27.4327     31.0170  34.4989    33.0045
ErrorIn4      35.5301     21.2523  34.4989    34.0655
