                   tan     sig      rec          new
Accuracy1      68.0300 76.9800  80.0500      77.4900
Accuracy2      79.8000 76.9800  57.8000      78.2600
Accuracy3      77.4900 77.4900       NA      78.0100
Accuracy4           NA      NA       NA      78.5200
Accuracy5      60.6100      NA  67.2600      78.0100
Steps1         23.0000 76.0000 395.0000   11286.0000
Steps2        444.0000 78.0000 106.0000   45909.0000
Steps3    1337661.0000 55.0000  21.0000    5309.0000
Steps4          4.0000 13.0000   1.0000 1134812.0000
Steps5         45.0000 14.0000 156.0000    5252.0000
ErrorIn1       52.5698 37.9334  35.0000      36.0535
ErrorIn2       34.4492 38.1212  90.2484      35.7787
ErrorIn3       30.2793 38.3503  59.4751      36.0641
ErrorIn4       59.4089 59.2707  97.5000      35.6376
ErrorIn5       50.4460 59.4692  48.0345      35.5524
